gpu,M,K,N,method,R,S,median_us,min_worker_us,max_worker_us,worker_us,runs,baseline_changed,outputs,max_abs,max_L1_relative,relative_L2
2,5120,5120,1,2,2,32,66.624,66.01599999999999,69.904,"[66.624, 69.904, 66.01599999999999]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,1,2,4,32,49.22667,49.013329999999996,51.856004999999996,"[49.22667, 51.856004999999996, 49.013329999999996]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,1,10,4,32,54.17066,53.621335,58.341335,"[54.17066, 58.341335, 53.621335]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,1,11,4,32,45.632000000000005,45.541335000000004,48.911995000000005,"[45.632000000000005, 48.911995000000005, 45.541335000000004]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,1,12,4,32,43.664,43.296,46.496,"[43.664, 46.496, 43.296]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,1,13,8,32,68.10666499999999,67.98933,72.64533499999999,"[68.10666499999999, 72.64533499999999, 67.98933]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,1,14,2,32,40.757335,40.575995000000006,43.007999999999996,"[40.575995000000006, 43.007999999999996, 40.757335]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,1,14,4,32,42.117335,41.99467,44.997330000000005,"[42.117335, 44.997330000000005, 41.99467]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,1,17,4,32,42.997335,42.64,45.935995000000005,"[42.997335, 45.935995000000005, 42.64]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,1,30,4,32,89.024005,87.930665,96.22399999999999,"[89.024005, 96.22399999999999, 87.930665]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,1,31,4,32,55.674665000000005,55.40267,59.733335,"[55.674665000000005, 59.733335, 55.40267]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,1,36,2,32,61.482665,60.858665,67.141335,"[61.482665, 67.141335, 60.858665]","['1788873325850999144', '1788873522680961416', '1788873586604212297']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
2,5120,5120,4,2,2,32,191.30133,189.967995,200.165335,"[200.165335, 191.30133, 189.967995]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,5120,4,2,4,32,136.14933000000002,135.333335,143.189335,"[143.189335, 136.14933000000002, 135.333335]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,5120,4,10,4,32,154.794665,153.65333500000003,167.79734000000002,"[167.79734000000002, 154.794665, 153.65333500000003]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,5120,4,11,4,32,124.544005,123.328,135.237325,"[135.237325, 124.544005, 123.328]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,5120,4,12,4,32,121.792,120.757335,132.736,"[132.736, 121.792, 120.757335]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,5120,4,13,8,32,169.984005,168.41066,183.21067499999998,"[183.21067499999998, 169.984005, 168.41066]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,5120,4,14,2,32,116.74133,115.125335,127.168,"[127.168, 116.74133, 115.125335]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,5120,4,14,4,32,116.101335,115.27999,126.93333,"[126.93333, 116.101335, 115.27999]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,5120,4,17,4,32,115.00800000000001,113.81866500000001,125.31734,"[125.31734, 115.00800000000001, 113.81866500000001]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,5120,4,30,4,32,96.34133,95.71733,102.77332999999999,"[102.77332999999999, 96.34133, 95.71733]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,5120,4,31,4,32,99.53067,98.66667,105.392,"[105.392, 99.53067, 98.66667]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,5120,4,36,2,32,67.66933,67.077335,72.080005,"[72.080005, 67.66933, 67.077335]","['1788873380702898292', '1788873466222406395', '1788873604799914222']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
2,5120,17408,1,2,2,32,206.48000000000002,204.89598999999998,206.629345,"[204.89598999999998, 206.48000000000002, 206.629345]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,5120,17408,1,2,4,32,146.94400000000002,146.325335,147.285335,"[146.325335, 147.285335, 146.94400000000002]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,5120,17408,1,10,4,32,154.336005,153.31199500000002,154.624,"[153.31199500000002, 154.624, 154.336005]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,5120,17408,1,11,4,32,125.898665,125.02933,125.96266,"[125.02933, 125.898665, 125.96266]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,5120,17408,1,12,4,32,117.86666,117.045335,117.89333,"[117.045335, 117.86666, 117.89333]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,5120,17408,1,13,8,32,209.33866999999998,207.856,210.23468,"[207.856, 209.33866999999998, 210.23468]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,5120,17408,1,14,2,32,114.22933,113.87733,114.60801000000001,"[113.87733, 114.22933, 114.60801000000001]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,5120,17408,1,14,4,32,119.88266,118.949325,119.95733,"[118.949325, 119.88266, 119.95733]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,5120,17408,1,17,4,32,115.15733,114.826675,115.22133500000001,"[114.826675, 115.15733, 115.22133500000001]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,5120,17408,1,30,4,32,270.71466,266.02666999999997,270.80534,"[266.02666999999997, 270.71466, 270.80534]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,5120,17408,1,31,4,32,157.552005,156.608005,157.65866499999998,"[156.608005, 157.552005, 157.65866499999998]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,5120,17408,1,36,2,32,187.22667,184.51733000000002,187.53067,"[184.51733000000002, 187.22667, 187.53067]","['1788873361399443333', '1788873485483601357', '1788873564687191973']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
2,17408,5120,1,2,2,32,203.88799999999998,201.930665,204.58667000000003,"[203.88799999999998, 201.930665, 204.58667000000003]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
2,17408,5120,1,2,4,32,154.96533,153.87733500000002,154.976005,"[154.976005, 153.87733500000002, 154.96533]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
2,17408,5120,1,10,4,32,159.327995,158.416,159.99466,"[159.327995, 158.416, 159.99466]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
2,17408,5120,1,11,4,32,133.109335,132.75732499999998,133.712005,"[133.109335, 132.75732499999998, 133.712005]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
2,17408,5120,1,12,4,32,122.32,121.55734,122.56533999999999,"[122.32, 121.55734, 122.56533999999999]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
2,17408,5120,1,13,8,32,173.57867,172.400015,173.76533,"[173.76533, 172.400015, 173.57867]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
2,17408,5120,1,14,2,32,116.656,116.21333999999999,117.061335,"[116.656, 116.21333999999999, 117.061335]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
2,17408,5120,1,14,4,32,117.39733,116.783995,117.792,"[117.39733, 116.783995, 117.792]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
2,17408,5120,1,17,4,32,122.25067,121.63732999999999,122.93867,"[122.25067, 121.63732999999999, 122.93867]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
2,17408,5120,1,30,4,32,239.90933,236.60799500000002,241.89866999999998,"[239.90933, 236.60799500000002, 241.89866999999998]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
2,17408,5120,1,31,4,32,161.62134,160.04799500000001,161.83465999999999,"[161.62134, 160.04799500000001, 161.83465999999999]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
2,17408,5120,1,36,2,32,178.84266,175.354675,179.19466,"[178.84266, 175.354675, 179.19466]","['1788873343458757678', '1788873505273206232', '1788873645864873221']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
3,5120,5120,1,2,2,32,67.29066499999999,66.602665,69.626665,"[69.626665, 66.602665, 67.29066499999999]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,1,2,4,32,50.032,49.424,51.616,"[51.616, 49.424, 50.032]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,1,10,4,32,55.728,53.989335,58.111995,"[58.111995, 53.989335, 55.728]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,1,11,4,32,46.896,45.920005,48.714665,"[48.714665, 45.920005, 46.896]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,1,12,4,32,44.672,43.621335,46.330664999999996,"[46.330664999999996, 43.621335, 44.672]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,1,13,8,32,69.824,67.904005,72.469335,"[72.469335, 67.904005, 69.824]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,1,14,2,32,41.290665,40.880005,42.54933,"[42.54933, 40.880005, 41.290665]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,1,14,4,32,43.04,42.528005,44.314665000000005,"[44.314665000000005, 42.528005, 43.04]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,1,17,4,32,44.16533,43.312,45.78667,"[45.78667, 43.312, 44.16533]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,1,30,4,32,89.89333500000001,89.01866,96.12267,"[96.12267, 89.01866, 89.89333500000001]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,1,31,4,32,56.789335,55.359995,59.306664999999995,"[59.306664999999995, 55.359995, 56.789335]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,1,36,2,32,62.954665000000006,61.31733,67.237335,"[67.237335, 61.31733, 62.954665000000006]","['1788873331636985490', '1788873511769580881', '1788873592531687984']",0,5120,0.01099352645,3.471909776e-08,1.030697382e-07
3,5120,5120,4,2,2,32,192.208,190.912,192.218665,"[192.208, 192.218665, 190.912]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,5120,4,2,4,32,136.96,135.92000000000002,136.98134,"[136.98134, 136.96, 135.92000000000002]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,5120,4,10,4,32,156.42132500000002,154.98667,156.480005,"[156.480005, 156.42132500000002, 154.98667]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,5120,4,11,4,32,126.22934,124.704005,126.421335,"[126.421335, 126.22934, 124.704005]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,5120,4,12,4,32,123.589335,122.186665,123.78667,"[123.589335, 123.78667, 122.186665]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,5120,4,13,8,32,171.46133500000002,170.517335,172.304,"[172.304, 171.46133500000002, 170.517335]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,5120,4,14,2,32,117.70666499999999,116.090665,117.87733,"[117.70666499999999, 117.87733, 116.090665]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,5120,4,14,4,32,117.44,116.07467,117.829335,"[117.829335, 117.44, 116.07467]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,5120,4,17,4,32,116.154675,114.68799999999999,116.421335,"[116.421335, 116.154675, 114.68799999999999]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,5120,4,30,4,32,97.15734,96.234675,97.25333499999999,"[97.25333499999999, 97.15734, 96.234675]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,5120,4,31,4,32,100.432005,99.648,100.57066499999999,"[100.57066499999999, 100.432005, 99.648]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,5120,4,36,2,32,68.085335,67.36533499999999,68.50133500000001,"[68.50133500000001, 68.085335, 67.36533499999999]","['1788873386761405451', '1788873434532883584', '1788873610586004826']",0,20480,0.009921371631,3.529814674e-08,1.013475131e-07
3,5120,17408,1,2,2,32,205.520015,204.975995,207.31201499999997,"[205.520015, 204.975995, 207.31201499999997]","['1788873368601367664', '1788873472686993102', '1788873571990053431']",0,5120,0.02093466176,1.97856485e-08,1.195455834e-07
